Transaction_ID,Amount,Time,Transaction_Type,Location,Card_Type,Merchant_Category,Device_Type,Previous_Fraudulent,Fraudulent
29,2964.110771465902,54319,Online,India,Discover,Electronics,Tablet,0,0
30,237.01981153638863,21639,POS,UK,Amex,Travel,Desktop,0,0
31,3039.686535247685,64712,Online,Canada,Visa,Retail,Mobile,0,0
32,856.7679978180212,16633,ATM,Canada,MasterCard,Travel,Tablet,1,0
33,329.9327069614712,34660,ATM,USA,Amex,Food,Desktop,1,0
34,4744.6832585803995,68975,POS,Canada,Visa,Food,Mobile,1,0
35,4828.332005207424,32172,POS,Canada,Amex,Grocery,Desktop,0,0
36,4042.9447538417235,59197,Online,UK,MasterCard,Grocery,Tablet,0,0
37,1526.5457770209866,58847,POS,UK,Amex,Food,Mobile,1,0
38,492.87220946188745,11577,Online,India,Amex,Food,Desktop,1,0
39,3422.7439674282236,77299,POS,USA,MasterCard,Electronics,Tablet,0,0
40,2203.5617062293086,20176,POS,Canada,Amex,Food,Desktop,1,0
41,614.5809830496702,44386,POS,India,Visa,Grocery,Mobile,0,0
42,2478.4086660057947,63972,ATM,USA,Amex,Food,Mobile,0,0
43,176.7706629705159,41003,ATM,Canada,Discover,Grocery,Mobile,0,0
44,4547.055408383517,19996,Online,Canada,Visa,Retail,Tablet,1,0
45,1297.6060080920845,35931,POS,UK,Amex,Food,Desktop,0,0
46,3314.29881034814,35710,Online,Germany,Discover,Grocery,Desktop,1,0
47,1561.9968250666077,34693,POS,USA,Discover,Travel,Tablet,0,0
48,2602.739765783165,35740,ATM,Canada,Discover,Electronics,Mobile,1,0
49,2735.817845319682,77241,ATM,USA,Amex,Grocery,Laptop,1,1
50,928.3480053500076,76502,POS,India,MasterCard,Food,Mobile,0,0
51,4848.07521568397,17374,POS,India,Discover,Food,Laptop,0,0
52,3876.7884526887674,76674,ATM,Germany,MasterCard,Retail,Mobile,0,0
53,4697.797213113125,81471,ATM,Canada,Visa,Travel,Tablet,0,0
54,4474.662615386106,45913,Online,UK,MasterCard,Grocery,Laptop,1,0
55,2991.51039416137,66025,ATM,Canada,MasterCard,Travel,Tablet,1,0
56,4609.761803940469,44516,POS,USA,MasterCard,Retail,Laptop,1,0
57,447.0200477493379,26069,Online,India,MasterCard,Electronics,Desktop,1,0
58,983.9343977836303,56233,POS,USA,MasterCard,Travel,Laptop,1,0
59,230.91030810813763,84811,Online,Germany,Visa,Retail,Laptop,0,0
60,1630.0250021625054,59049,POS,India,Visa,Grocery,Laptop,0,0
61,1946.4430619989625,39178,ATM,UK,MasterCard,Electronics,Desktop,1,0
62,1360.3884137106102,32821,POS,India,MasterCard,Food,Tablet,0,0
63,4144.543858213887,51727,Online,Canada,Discover,Retail,Desktop,0,0
64,1786.9828668344785,60935,POS,Canada,Visa,Food,Laptop,0,0
65,1408.267875888467,16999,Online,India,Amex,Electronics,Mobile,0,0
66,2715.766935375451,62522,POS,Germany,Visa,Retail,Desktop,0,0
67,708.9165037489394,38712,ATM,Canada,Amex,Retail,Mobile,0,0
68,4011.973918866428,64551,ATM,Canada,Discover,Electronics,Desktop,1,0
69,377.38046518045525,40172,POS,UK,MasterCard,Grocery,Desktop,0,0
70,4934.500248319584,33722,POS,India,Discover,Retail,Laptop,0,0
71,3862.3626226368037,10625,POS,Canada,MasterCard,Electronics,Tablet,1,0
72,997.5848292631912,67165,Online,Germany,Visa,Travel,Tablet,1,0
73,32.58297503239398,76509,POS,USA,MasterCard,Food,Laptop,1,0
74,4078.229835131897,6859,POS,India,Amex,Retail,Desktop,0,0
75,3535.7524325188474,41609,Online,UK,Amex,Travel,Tablet,1,0
76,3646.3908043647316,43307,ATM,Canada,Discover,Retail,Tablet,0,0
77,3857.495381696299,21839,POS,Germany,Visa,Grocery,Tablet,1,0
78,374.8530354117814,27216,POS,India,Amex,Electronics,Laptop,0,0
79,1795.5363140786417,52953,ATM,Germany,Discover,Retail,Mobile,0,0
80,583.7659523280229,84481,ATM,Germany,Visa,Electronics,Mobile,1,0
81,4316.201612248589,60593,Online,UK,Visa,Retail,Mobile,0,0
82,3118.374143503652,72075,POS,India,Discover,Grocery,Mobile,0,0
83,1657.8356341389826,49522,POS,Canada,Amex,Grocery,Mobile,0,0
84,322.47395967868806,4886,Online,UK,Amex,Travel,Tablet,0,0
85,1558.3566969697326,7485,ATM,Canada,Discover,Grocery,Tablet,1,0
86,1629.2906935236015,31455,Online,USA,Amex,Electronics,Desktop,1,0
87,3649.38286079863,16767,ATM,Germany,Discover,Grocery,Tablet,1,0
88,3189.5995694192898,28453,Online,USA,Amex,Retail,Laptop,0,0
89,4436.627649168751,76280,ATM,Germany,Amex,Grocery,Desktop,1,0
90,2363.713551183937,53442,Online,UK,Discover,Electronics,Tablet,1,0
91,602.373258461817,51877,ATM,Canada,Discover,Retail,Desktop,0,0
92,3567.65771217886,12226,ATM,Canada,Amex,Travel,Desktop,1,0
93,3805.1213178414027,22588,ATM,UK,Discover,Travel,Mobile,1,0
94,2808.579601859634,78976,ATM,India,Amex,Travel,Desktop,1,0
95,3855.9810638730323,31709,ATM,USA,MasterCard,Retail,Tablet,0,0
96,2471.5090038401318,47788,POS,USA,Visa,Travel,Mobile,1,0
97,2616.0504827630602,37019,ATM,Canada,Visa,Grocery,Tablet,1,0
98,2140.5673867009555,44948,POS,Canada,Amex,Retail,Mobile,1,0
99,131.96853808675547,65133,ATM,Canada,Visa,Retail,Tablet,0,0
100,543.9176778315557,66458,POS,UK,Amex,Retail,Mobile,0,0
101,161.9887825052376,27526,POS,India,Discover,Food,Mobile,1,0
102,3183.8700042625833,73493,Online,USA,MasterCard,Electronics,Laptop,1,0
103,1575.2081254762518,52198,ATM,Germany,Visa,Food,Tablet,1,0
104,2545.3106023676905,43395,Online,UK,Visa,Food,Desktop,0,0
105,4538.294537260835,24031,Online,USA,Discover,Food,Mobile,0,0
106,1250.2146845986304,75542,ATM,India,MasterCard,Electronics,Tablet,1,0
107,2054.8627005629705,37701,Online,UK,MasterCard,Food,Mobile,1,1
108,3778.9779370225283,25939,ATM,USA,MasterCard,Travel,Laptop,0,0
109,1147.8468366306543,49145,Online,UK,Discover,Retail,Laptop,0,0
110,389.514649594821,20324,ATM,USA,Visa,Retail,Laptop,1,0
111,1452.3085073042712,22867,ATM,USA,Visa,Grocery,Laptop,0,0
112,810.3003298337521,203,ATM,India,MasterCard,Travel,Desktop,1,0
113,4648.839773451153,16544,POS,Germany,Discover,Electronics,Desktop,1,0
114,4041.5612959242626,15899,Online,India,Discover,Retail,Mobile,0,0
115,3168.8517637695654,29063,POS,USA,Discover,Food,Tablet,1,0
116,4357.94564798765,3748,Online,UK,MasterCard,Grocery,Laptop,1,0
117,4019.3420241110766,66629,Online,India,Discover,Grocery,Laptop,1,0
118,936.9174441357491,80764,Online,Germany,MasterCard,Retail,Desktop,1,0
119,4463.332197457439,20884,POS,USA,MasterCard,Travel,Desktop,1,0
120,2699.0144983686755,25183,Online,India,MasterCard,Grocery,Laptop,1,0
121,4038.1635750444925,81570,POS,India,Amex,Retail,Tablet,1,0
122,4480.976043117848,71246,ATM,India,MasterCard,Travel,Mobile,0,0
123,1593.4273574844601,19259,Online,India,Discover,Retail,Mobile,0,0
124,554.7093630157455,35959,Online,UK,Amex,Retail,Mobile,1,0
125,1143.5361368969986,33457,ATM,Germany,Visa,Travel,Mobile,0,0
126,2138.4034041881505,85679,ATM,Germany,Visa,Travel,Tablet,1,0
127,4090.983755782853,2103,Online,USA,Discover,Travel,Tablet,1,0
128,4304.349263365435,65901,ATM,Canada,Discover,Retail,Tablet,0,0
129,39.72589200329757,44535,POS,UK,Discover,Grocery,Desktop,1,0
130,2556.1827763749407,16103,POS,USA,Discover,Electronics,Laptop,1,0
131,2089.967960728151,78278,Online,USA,Amex,Electronics,Tablet,0,0
132,1114.4285133012977,12391,POS,India,Discover,Retail,Mobile,0,0
133,603.7275098317456,28901,POS,Canada,MasterCard,Retail,Tablet,0,0
134,1691.3877811611217,81159,Online,Canada,Visa,Grocery,Laptop,0,1
135,4714.833971043033,67914,ATM,UK,Discover,Travel,Desktop,0,0
136,1619.3986454436724,50357,Online,Canada,MasterCard,Retail,Mobile,0,0
137,2596.3591556081137,38437,POS,USA,Discover,Food,Desktop,1,0
138,3516.5796996814133,35503,Online,Canada,MasterCard,Travel,Tablet,0,0
139,1821.3298638845733,75403,Online,Canada,Amex,Retail,Mobile,0,0
140,4859.051503191198,41258,POS,Germany,Visa,Food,Mobile,1,0
141,4812.424238235845,33724,POS,USA,Visa,Grocery,Tablet,1,0
142,1262.652567647694,64286,Online,Canada,Amex,Food,Tablet,0,0
143,2488.756286932465,74842,POS,Canada,MasterCard,Retail,Laptop,1,0
144,1507.8871575347644,14908,POS,India,Discover,Electronics,Tablet,1,0
145,1427.7782694154507,50626,POS,Canada,MasterCard,Retail,Tablet,1,1
146,189.2503020358913,37228,POS,Canada,Visa,Electronics,Tablet,1,0
147,3049.773848229585,23386,POS,Germany,Amex,Grocery,Mobile,1,0
148,2515.881721028163,46754,POS,USA,Amex,Grocery,Laptop,1,0
149,262.1363624936968,28302,ATM,UK,MasterCard,Travel,Mobile,1,0
150,1396.8390888618742,60815,Online,USA,MasterCard,Travel,Tablet,0,0
151,4541.788100403435,84748,POS,India,Amex,Electronics,Laptop,1,0
152,1201.6116438815272,63344,Online,USA,Visa,Electronics,Tablet,0,0
153,728.7498860956593,35618,ATM,Canada,Discover,Grocery,Mobile,1,0
154,2449.8165375864273,76234,POS,India,Discover,Food,Mobile,1,0
155,4928.32401828245,61114,Online,USA,MasterCard,Electronics,Tablet,0,0
156,1214.0660811999446,70130,POS,India,Amex,Electronics,Laptop,1,0
157,3362.3170592923634,25525,POS,UK,Amex,Food,Mobile,1,0
158,3809.2899785669442,79818,POS,USA,Amex,Travel,Tablet,0,0
159,1191.9995322420364,14334,POS,Canada,Visa,Travel,Desktop,1,0
160,3642.4406613162387,62767,POS,India,MasterCard,Electronics,Tablet,1,0
161,1842.0767479326698,6644,POS,Germany,MasterCard,Travel,Tablet,0,0
162,3163.3676238149296,32933,POS,India,MasterCard,Travel,Laptop,0,0
163,3169.480905250669,43469,ATM,Germany,Visa,Travel,Tablet,1,0
164,2681.1945469534185,33687,ATM,Canada,MasterCard,Grocery,Desktop,0,0
165,455.9974014217695,52656,POS,UK,Discover,Retail,Tablet,1,0
166,4177.335965468244,17375,POS,Germany,MasterCard,Electronics,Desktop,1,0
167,1607.2964245338205,65206,ATM,UK,MasterCard,Electronics,Mobile,0,0
168,936.6599594472718,36607,ATM,India,MasterCard,Grocery,Tablet,0,0
169,208.67183206604577,83178,ATM,Canada,Visa,Retail,Laptop,0,0
170,2956.510251225268,23993,POS,Germany,Discover,Retail,Tablet,0,0
171,3389.4339874022007,44386,Online,India,Discover,Grocery,Desktop,1,0
172,87.85620549464147,46287,Online,USA,Amex,Food,Desktop,0,0
173,2562.9048262049087,76312,Online,India,Amex,Food,Laptop,0,0
174,1136.3463971137,75324,Online,UK,Discover,Retail,Desktop,1,1
175,3227.638088095202,71196,POS,Canada,MasterCard,Food,Tablet,1,0
176,875.9603128799323,70014,Online,Canada,MasterCard,Food,Desktop,1,0
177,3456.2340018218174,8210,ATM,India,MasterCard,Food,Tablet,1,0
178,1936.7430547711845,10922,ATM,USA,Visa,Retail,Tablet,1,0
179,4683.966293739989,36289,Online,UK,MasterCard,Food,Desktop,1,0
180,691.9171160092363,33340,ATM,India,Visa,Electronics,Laptop,1,0
181,1708.6264234960413,39850,POS,India,Discover,Retail,Mobile,1,0
182,571.8002385967424,56984,Online,Canada,MasterCard,Grocery,Laptop,1,0
183,4623.844623301421,84178,Online,UK,MasterCard,Food,Mobile,0,0
184,4387.310070138,11094,POS,USA,Amex,Travel,Laptop,0,0
185,1293.4184304372022,33418,ATM,Canada,Discover,Retail,Tablet,1,0
186,3301.6203099407244,5741,POS,India,MasterCard,Grocery,Tablet,0,0
187,4087.0248900050733,72374,POS,Canada,Visa,Electronics,Desktop,1,0
188,2778.228053939314,68798,ATM,Canada,Discover,Grocery,Mobile,1,0
189,2650.6046388882523,70532,POS,Germany,Amex,Food,Mobile,1,0
190,1213.0521930477562,22164,ATM,Canada,Discover,Travel,Desktop,1,0
191,470.0483251904666,35595,ATM,Canada,Visa,Food,Laptop,0,0
192,4486.592710976867,30257,POS,UK,Amex,Grocery,Desktop,0,0
193,4502.588195530836,14211,ATM,Canada,Visa,Retail,Laptop,1,0
194,3167.3417790799735,5232,POS,USA,Discover,Travel,Desktop,0,0
195,1698.4538062882598,67753,ATM,India,Amex,Travel,Mobile,0,0
196,1749.301825190241,52691,Online,UK,Visa,Grocery,Mobile,1,0
197,3631.148615956846,79768,ATM,Canada,Discover,Food,Laptop,1,0
198,4486.065748463123,25613,ATM,USA,Visa,Grocery,Mobile,0,0
199,4435.996689204261,14026,POS,India,MasterCard,Travel,Mobile,0,0
200,3900.478351558831,53535,ATM,UK,Discover,Grocery,Mobile,1,0
201,3211.9480725406675,30908,Online,USA,Amex,Travel,Mobile,1,0
202,425.2791251502689,52113,Online,Canada,Amex,Food,Tablet,0,0
203,812.3354269025958,19610,ATM,Germany,MasterCard,Retail,Desktop,1,0
204,4493.278171692761,46646,ATM,Germany,Visa,Retail,Desktop,1,0
205,3034.113152999652,63185,Online,UK,Visa,Grocery,Tablet,1,0
206,50.93927282506509,72567,POS,USA,Amex,Travel,Mobile,0,0
207,511.8503566158304,47574,Online,India,Visa,Retail,Desktop,0,0
208,3319.1913366947388,36182,Online,USA,Discover,Travel,Desktop,1,0
209,30.28261131186234,570,ATM,Germany,Discover,Food,Desktop,0,0
210,808.2362168304057,19288,ATM,UK,Amex,Grocery,Laptop,1,0
211,2745.925277886098,78824,Online,Canada,Discover,Travel,Tablet,0,0
212,3461.016512475003,29877,POS,USA,Amex,Grocery,Laptop,0,0
213,3261.54649121549,84425,Online,Germany,Visa,Travel,Laptop,0,1
214,1125.2252007554962,917,Online,India,Visa,Travel,Tablet,1,0
215,3562.3352106309417,75602,POS,UK,Visa,Food,Desktop,1,0
216,1190.0591920465163,64575,Online,Canada,MasterCard,Grocery,Laptop,1,0
217,1630.3714923055422,72518,Online,USA,Amex,Electronics,Desktop,0,0
218,3733.7245685645307,39104,ATM,India,Discover,Travel,Laptop,1,0
219,3249.916330740837,18062,POS,Canada,Visa,Travel,Desktop,1,0
220,4246.870935418418,16999,ATM,Germany,MasterCard,Retail,Mobile,1,0
221,3289.776397040215,61845,ATM,Germany,Discover,Grocery,Mobile,1,0
222,2843.7014736606807,9941,POS,India,Discover,Electronics,Mobile,0,0
223,472.9054653013219,61169,POS,Germany,Discover,Food,Tablet,1,0
224,1841.7404362818704,23470,Online,UK,Visa,Electronics,Mobile,1,0
225,1329.6858265702185,59821,ATM,India,Discover,Food,Laptop,0,0
226,1223.7282686785225,44435,POS,Germany,Amex,Electronics,Desktop,1,0
227,4865.187720988466,4529,ATM,USA,MasterCard,Electronics,Desktop,0,0
228,1968.5231347104682,83055,ATM,Germany,Discover,Grocery,Desktop,0,1
229,4460.772543109681,12192,POS,UK,Discover,Retail,Desktop,0,0
230,3157.537436856328,74102,Online,Canada,Amex,Electronics,Laptop,1,0
231,3975.0824611905336,72762,ATM,Canada,Discover,Travel,Desktop,0,0
232,2515.672280060435,34087,POS,Germany,Visa,Travel,Laptop,0,0
233,2886.634903708664,66677,Online,Canada,Visa,Travel,Laptop,0,0
234,2465.1258806252254,4627,ATM,Germany,Visa,Retail,Desktop,1,0
235,980.2387240512322,56541,POS,UK,Discover,Electronics,Desktop,0,0
236,3613.648315731219,68226,ATM,Canada,MasterCard,Food,Desktop,0,0
237,1407.4579503920747,3255,POS,USA,MasterCard,Food,Laptop,0,0
238,126.45825232511193,57433,POS,Germany,Discover,Grocery,Tablet,1,0
239,3229.134118056303,5213,ATM,Canada,MasterCard,Retail,Laptop,0,0
240,889.6678436382094,19404,ATM,UK,MasterCard,Electronics,Tablet,0,0
241,4702.590628842807,25380,POS,UK,Discover,Travel,Desktop,1,0
242,4769.873242127924,19173,Online,USA,Visa,Retail,Laptop,1,0
243,4574.74762915114,53027,ATM,UK,Discover,Retail,Desktop,1,0
244,1853.9427077759447,23989,POS,UK,Visa,Electronics,Tablet,0,0
245,82.2057995616928,24519,POS,Canada,Visa,Grocery,Tablet,0,0
246,4641.951220125688,22439,Online,Germany,MasterCard,Grocery,Laptop,0,0
247,2143.779820844985,76949,Online,India,MasterCard,Grocery,Laptop,0,0
248,4833.440821123129,14995,Online,UK,Visa,Travel,Laptop,1,0
249,4818.281785560818,23559,ATM,UK,Visa,Travel,Laptop,0,0
250,4265.7822300594635,5021,POS,India,MasterCard,Electronics,Mobile,1,0
251,1475.7722158875806,21119,POS,UK,Amex,Grocery,Mobile,0,0
252,1928.5631543666166,51539,POS,Canada,Visa,Electronics,Desktop,0,0
253,4256.4276742267,39350,Online,Canada,Visa,Grocery,Tablet,0,0
254,1588.025415755607,46223,POS,India,Visa,Retail,Tablet,1,0
255,851.616269697032,25517,ATM,UK,MasterCard,Food,Desktop,1,0
256,2786.222305979459,78653,Online,UK,Discover,Food,Desktop,1,0
257,4681.093096933101,22250,Online,Germany,Visa,Grocery,Desktop,1,0
258,3481.6688343914902,84486,Online,UK,Visa,Electronics,Mobile,0,0
259,2852.455544596378,82895,Online,Canada,Visa,Travel,Desktop,0,0
260,490.39658638498884,66798,ATM,USA,Discover,Grocery,Tablet,0,0
261,3076.961097362353,54199,POS,USA,Discover,Grocery,Desktop,0,0
262,4950.318981270795,59546,ATM,USA,Visa,Travel,Laptop,0,0
263,704.7196561064375,3327,POS,USA,Visa,Grocery,Tablet,1,0
264,2594.056613556865,29768,ATM,UK,Amex,Retail,Tablet,1,0
265,4387.478494280137,64418,Online,UK,Discover,Travel,Tablet,0,0
266,3705.1392456822514,42788,Online,Germany,Amex,Retail,Mobile,0,0
267,3486.5936262713635,82384,ATM,UK,Visa,Food,Mobile,0,0
268,3513.9079995156108,46830,ATM,USA,Visa,Travel,Tablet,0,0
269,1800.658300342677,52446,POS,India,Visa,Travel,Laptop,1,0
270,1471.4912621011445,15160,ATM,India,Visa,Electronics,Tablet,0,0
271,4047.7589716151756,56583,ATM,Canada,MasterCard,Electronics,Mobile,0,0
272,4051.5164064225078,33998,POS,Canada,MasterCard,Travel,Laptop,0,0
273,4336.026231307618,27230,POS,UK,MasterCard,Food,Tablet,0,0
274,4566.636560019574,9076,POS,India,Amex,Grocery,Mobile,1,0
275,2559.1552823103843,69341,ATM,USA,Discover,Electronics,Laptop,0,0
276,2510.073891962562,31085,POS,USA,Visa,Food,Desktop,1,0
277,3992.484418939042,55571,Online,USA,Discover,Food,Desktop,1,0
278,3251.569834234937,14715,Online,UK,MasterCard,Electronics,Tablet,0,0
279,3511.324551902228,5750,Online,UK,Visa,Grocery,Desktop,0,0
280,3979.984383833325,78768,ATM,Germany,Visa,Electronics,Mobile,0,0
281,4450.5766823787435,35903,Online,USA,Amex,Food,Laptop,0,0
282,1693.2858084734214,72489,ATM,USA,Discover,Retail,Tablet,0,0
283,1881.0368484365204,32093,ATM,UK,Amex,Electronics,Laptop,1,0
284,474.43978950514065,34314,Online,UK,MasterCard,Food,Laptop,1,0
285,2893.509304275889,48225,POS,Germany,Discover,Electronics,Laptop,1,0
286,184.53165761472673,83014,ATM,Germany,MasterCard,Food,Mobile,1,0
287,2330.6621005716383,35179,Online,Canada,Amex,Grocery,Tablet,1,1
288,2715.509950364345,25338,ATM,India,Amex,Food,Desktop,0,0
289,1436.2735543807805,69681,POS,USA,Visa,Travel,Laptop,0,0
290,2956.2121365422086,32101,POS,USA,Discover,Retail,Laptop,1,0
291,157.3487484455519,2775,Online,Germany,Discover,Food,Laptop,0,0
292,191.55420280232602,45619,ATM,Germany,Visa,Electronics,Mobile,0,0
293,4113.889800494993,45838,ATM,Canada,Discover,Electronics,Desktop,1,0
294,1804.1522538492582,19539,ATM,India,MasterCard,Food,Laptop,1,0
295,639.6672606961645,57124,ATM,Canada,MasterCard,Travel,Mobile,1,0
296,2613.6050839737477,65149,Online,India,Amex,Food,Mobile,0,0
297,3851.117797727561,26616,POS,USA,MasterCard,Grocery,Laptop,1,0
298,1083.0260323467317,79655,Online,Canada,Discover,Travel,Laptop,1,0
299,3116.337926715906,54567,ATM,Germany,Visa,Food,Mobile,0,0
300,431.31058764387114,37099,ATM,Canada,Amex,Retail,Mobile,0,0
301,263.15019723719547,75831,POS,Canada,Visa,Travel,Laptop,1,0
302,2659.116384682899,61799,ATM,USA,Amex,Food,Mobile,0,0
303,2705.472432442482,25479,Online,Germany,Amex,Retail,Mobile,1,0
304,3188.9623579835416,46172,Online,Germany,Visa,Food,Laptop,0,0
305,3631.8262119446945,55863,POS,UK,MasterCard,Grocery,Laptop,1,0
306,4879.38113691536,42043,Online,UK,MasterCard,Electronics,Tablet,0,0
307,2583.9202397644704,82569,Online,UK,MasterCard,Food,Desktop,0,0
308,1618.1675823415235,15408,Online,USA,MasterCard,Travel,Laptop,0,0
309,3976.955042869675,57980,Online,Canada,Visa,Food,Laptop,1,0
310,1357.8070950540607,82956,ATM,Germany,Discover,Food,Laptop,1,0
311,2197.6622464246525,16351,Online,Germany,Amex,Food,Desktop,1,0
312,396.88962480461845,4131,POS,Canada,Visa,Food,Tablet,0,0
313,131.62696336021025,44825,POS,Germany,MasterCard,Travel,Mobile,0,0
314,4813.428831316236,11349,Online,Canada,MasterCard,Travel,Desktop,0,0
315,4180.720701958468,60931,POS,USA,Visa,Food,Laptop,1,0
316,3481.3911594380215,44254,Online,USA,Amex,Electronics,Laptop,0,0
317,2047.719957349278,38225,POS,USA,Visa,Food,Tablet,1,0
318,870.6051287538746,12453,POS,Canada,Visa,Travel,Tablet,1,0
319,786.4030281420748,18814,Online,Canada,Discover,Grocery,Tablet,1,0
320,1254.9632763321536,18263,Online,India,Visa,Food,Mobile,1,0
321,2748.387190207072,77694,ATM,Germany,Discover,Food,Desktop,1,0
322,3574.4066338868115,15735,Online,Germany,Amex,Food,Desktop,0,0
323,3302.6858967050675,15830,Online,India,Visa,Food,Tablet,0,0
324,1403.2698152449846,47893,ATM,India,Visa,Retail,Mobile,0,0
325,4774.552076912654,44673,Online,USA,MasterCard,Food,Desktop,0,0
326,3690.795098895364,45066,Online,India,Visa,Travel,Laptop,0,0
327,2773.9984922944464,3373,ATM,Canada,MasterCard,Travel,Laptop,0,0
328,3060.5451274405896,10335,Online,UK,MasterCard,Retail,Laptop,1,0
329,2100.9023118268105,23741,Online,Canada,MasterCard,Food,Desktop,0,0
330,1242.4162925582816,10692,ATM,India,Amex,Electronics,Tablet,1,0
331,1783.0835298630516,47295,ATM,Germany,Discover,Food,Laptop,1,0
332,3790.4413217695237,45541,POS,Canada,MasterCard,Travel,Tablet,1,0
333,76.89547570563056,34057,Online,Germany,Visa,Grocery,Mobile,1,0
334,584.7828393320466,66983,POS,Canada,Visa,Grocery,Laptop,1,0
335,234.78319689865498,19583,POS,Germany,MasterCard,Electronics,Mobile,0,0
336,208.44036758325583,22765,ATM,Canada,MasterCard,Food,Tablet,0,0
337,4278.025617134981,59287,Online,Germany,Visa,Retail,Desktop,0,0
338,3519.771007603218,23906,Online,UK,MasterCard,Food,Tablet,1,0
339,2373.4982762911895,85103,ATM,USA,Discover,Electronics,Laptop,0,0
340,493.68163245175236,79675,POS,Canada,Discover,Electronics,Laptop,0,0
341,2460.6212962085774,46525,ATM,UK,Amex,Electronics,Tablet,1,0
342,2369.9914950489256,38230,Online,USA,MasterCard,Grocery,Laptop,1,0
343,870.1433402005258,19520,ATM,Canada,Amex,Food,Laptop,0,0
344,2172.0889879436754,85238,Online,UK,Amex,Food,Mobile,1,0
345,1995.5311483148803,51934,POS,UK,Amex,Retail,Desktop,1,0
346,3081.171239770821,25566,Online,UK,MasterCard,Electronics,Tablet,1,0
347,3177.292786083881,73193,POS,India,Amex,Electronics,Mobile,0,0
348,231.29352881136236,30134,POS,Germany,Discover,Travel,Laptop,1,0
349,1876.1900100592238,10345,Online,USA,Amex,Travel,Mobile,1,0
350,3131.1702789926107,41185,Online,Germany,Discover,Grocery,Desktop,1,0
351,2518.1656116075383,70744,POS,Germany,Discover,Food,Tablet,1,0
352,4283.16675673567,33455,ATM,Germany,MasterCard,Retail,Desktop,1,0
353,3295.1746899366303,28018,Online,UK,Amex,Retail,Desktop,0,0
354,818.8574632717413,54219,POS,Germany,MasterCard,Electronics,Mobile,0,0
355,357.49089326514706,45991,POS,India,Discover,Retail,Mobile,1,0
356,3213.8842946405466,73616,ATM,Canada,Visa,Electronics,Desktop,1,0
357,137.42399615540094,9486,Online,UK,Amex,Food,Laptop,0,0
358,2930.949028460949,38862,POS,USA,MasterCard,Retail,Tablet,0,0
359,4701.450055917663,58870,ATM,Canada,Visa,Electronics,Laptop,1,0
360,2879.4935184900155,43856,POS,Canada,Amex,Food,Laptop,1,1
361,1943.908781401577,86055,Online,Canada,Amex,Food,Tablet,0,0
362,3218.224651119554,31379,ATM,Germany,MasterCard,Electronics,Mobile,1,0
363,2293.9731880051254,64729,POS,Germany,Visa,Electronics,Laptop,1,0
364,2730.355862633095,28378,ATM,UK,MasterCard,Grocery,Mobile,0,0
365,4707.616719838743,54353,Online,Germany,Amex,Food,Tablet,0,0
366,1933.5826758148673,49996,ATM,Germany,Amex,Electronics,Laptop,0,0
367,4806.146866300452,14031,Online,Germany,Discover,Food,Mobile,0,0
368,4527.226456570538,80072,POS,UK,Amex,Retail,Mobile,1,0
